plant_id,genotype_name,R01_raceme_start,R02_mean_rate,R03_max_rate,R04_DAS_of_max_rate,R05_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max
BR024-17216,PH17,47.64010417,51.65244809,96.99214184,52.64023148,29.55716634,12.51821738,21.18386395,68.18063419,60.15191576,1983,90.64015046,43.0000463
BR024-17217,PH17,49.76201389,50.67215498,99.02980063,53.76170139,27.65424128,11.03111943,19.31650837,72.02351539,60.76408724,1817,91.87965278,42.11763889
BR024-17218,PH17,50.87628472,44.95475264,83.02113964,59.87636574,28.49309416,10.94018997,18.93574884,65.85808854,56.546483,1701,104.8764005,54.00011574
BR024-18111,PH18,52.32947917,50.11793544,94.01849901,54.32946759,27.97601273,11.32432281,19.53199912,71.21838662,60.34968528,1789,103.3296875,51.00020833
BR024-18112,PH18,62.1716088,37.38332024,74.9939241,67.17166667,28.58226592,9.512764068,19.15485271,62.91546765,46.58088546,1475,104.177581,42.00597222
BR024-18113,PH18,57.20803241,44.41257945,86.98590506,59.20813657,22.29323341,8.22982154,15.72778356,65.91880484,52.2800938,1419,99.21068287,42.00265046
BR024-18114,PH18,55.37864583,40.95229557,78.94700317,59.37905093,30.34750513,11.58368634,19.80290863,60.94778287,52.59328411,1642,100.3793519,45.00070602
BR024-18215,PH18,55.50857639,36.12894618,79.7332995,57.51188657,35.17678024,11.65689679,19.86489762,59.57846352,53.09617095,1741,92.51802083,37.00944444
BR024-18216,PH18,58.66141204,45.5080526,82,61.66135417,22.58501389,8.999664352,16.28653524,63.44681064,52.58945424,1442,93.66130787,34.99989583
BR024-18217,PH18,53.76030093,44.71204824,93.96845966,55.76097222,27.02403597,10.39336888,18.15381149,65.57065449,55.6770131,1617,91.87825231,38.11795139
BR024-18218,PH18,59.85821759,51.16138424,84.09148842,63.85803241,21.80941772,9.039081197,15.76178451,68.92293436,59.06691589,1532,91.82642361,31.96820602
BR024-19111,PH19,61.02274306,48.04434962,71.99916668,63.02274306,17.45886887,8.428606151,13.54945952,55.76248215,51.69947917,1222,89.0228125,28.00006944
BR024-19112,PH19,56.15715278,50.99060641,78.00812585,59.15717593,20.96464575,10.02100887,16.23103191,60.37316279,55.1412877,1460,89.15740741,33.00025463
BR024-19113,PH19,59.20971065,43.47694796,81.01312713,62.20939815,28.72096729,11.6758314,19.30816599,59.56749253,53.92795983,1683,102.2131019,43.0033912
BR024-19114,PH19,61.28916667,42.00702481,59.00478048,63.28921296,26.07897143,11.88301138,19.57974026,50.61848218,46.48938074,1535,93.2890625,31.99989583
